Name,ID,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,mordred_0,mordred_1,mordred_2,mordred_3,mordred_4,mordred_5,mordred_6,mordred_7,mordred_8,Yield
4CzIPN,OPS1,-0.20639,-0.0888,3.262,0.185,3.033,0.229,4.7544,23.49173841,-13.47359805,-1.625076171,-14.17428473,-1.541972761,-2.463437118,-2.263997345,-3.252854396,-3.749309072,74
4tBuCzIPN,OPS2,-0.19621,-0.08203,3.1887,0.1207,2.9803,0.2084,6.4563,60.51329903,23.60491639,10.71209662,-10.25982544,4.212249629,0.705574751,-13.93197922,-0.754102169,1.736042636,47
4MeCzIPN,OPS3,-0.19686,-0.08286,3.1729,0.1881,2.9538,0.2191,5.2836,32.47239481,-2.420786344,4.028010375,-13.59671019,0.066960393,-3.848336519,-3.903321636,-3.205372921,-1.835060819,37
4BrCzIPN,OPS4,-0.2236,-0.11433,3.1927,0.1235,3.0271,0.1656,6.287,34.53328809,-28.64668635,5.808387812,6.262193908,22.8498313,-14.43487476,-2.681983354,-5.708893694,-1.479268285,55
4OMeCzIPN,OPS5,-0.1854,-0.07855,3.0441,0.1658,2.8555,0.1886,6.3647,37.53851181,-12.27194441,13.29278902,-6.343567051,-8.831135041,1.681837636,2.534683342,-14.65577062,17.5236403,0
4PhCzIPN,OPS6,-0.19569,-0.09205,3.1279,0.0199,3.0439,0.084,10.3465,61.65631154,-7.083217115,-6.626979323,-12.4146307,3.222727801,11.37557589,0.753848386,-6.358333922,-0.521457604,22
4DPAIPN,OPS7,-0.19312,-0.07487,3.1324,0.1749,2.7578,0.3746,5.8383,20.91820057,-5.545183428,-5.60714402,-2.845534519,-8.336980705,-3.775411973,6.289029109,12.18715758,0.280937423,74
4tBuDPAIPN,OPS8,-0.18604,-0.07053,3.0323,0.1249,2.7092,0.3231,6.9916,56.85012439,29.78845117,6.930022296,3.721963893,5.605451482,5.653867112,-10.89741313,8.091390699,5.973537923,17
4MeDPAIPN,OPS9,-0.17956,-0.06622,3.0266,0.2025,2.7414,0.2852,5.4777,30.52083465,5.125198591,0.862972792,-0.13564859,-5.614194962,-5.077263108,3.187904163,9.062603321,2.91073869,29
4FDPAIPN,OPS10,-0.19846,-0.08545,3.0458,0.1753,2.6241,0.4217,2.7916,25.78239577,-18.19761913,13.8632135,12.98701736,-14.69444585,10.56455245,6.212030227,6.342251028,7.926973158,71
