Name,ID,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,MF_0,MF_1,MF_2,MF_3,MF_4,MF_5,MF_6,MF_7,MF_8,MF_9,MF_10,MF_11,MF_12,MF_13,MF_14,MF_15,MF_16,MF_17,MF_18,MF_19,MF_20,MF_21,MF_22,MF_23,MF_24,MF_25,MF_26,MF_27,MF_28,Yield
4CzIPN,OPS1,-0.20639,-0.0888,3.262,0.185,3.033,0.229,14.2242,-0.679175251,-0.252871899,-3.069510633,-3.35427935,6.738171089,-0.351735614,1.048492628,-0.332707946,0.32883867,1.516473192,-0.541165432,0.056807459,-0.462064873,0.441370943,0.024629828,2.488521437,0.618165903,1.76406716,-0.641942134,1.748038324,1.284051442,1.061207165,-0.591773044,-0.505231648,-2.339599639,-1.9991293,-1.322718912,1.580475317,0.259082057,74
4tBuCzIPN,OPS2,-0.19621,-0.08203,3.1887,0.1207,2.9803,0.2084,17.0602,-0.58693001,0.07502017,-3.861980504,-4.779991358,7.832801721,1.539234951,-0.337564203,0.88278344,0.374476685,1.849787381,1.055120309,-1.396571138,-2.12307584,0.386645305,-2.288625454,-3.273435614,0.179531167,1.047480915,0.508676882,0.703858816,-0.19346118,2.350710114,0.421912277,0.224362155,-1.679061184,2.074397244,0.372015427,-1.38071759,0.331028936,47
4MeCzIPN,OPS3,-0.19686,-0.08286,3.1729,0.1881,2.9538,0.2191,15.6786,-0.213453622,-0.236167265,-3.546855929,-4.911598099,7.030975612,0.75124832,0.416148607,0.234891055,1.137516815,2.028111789,-0.268278382,-1.074616584,-0.086837734,0.298743576,0.72991071,-1.000839987,0.932432702,1.36050004,-0.946628576,0.650134766,1.73192697,3.900460553,0.095268577,0.487570155,-3.604861344,-1.236407342,0.067857961,1.77603872,1.323137548,37
4BrCzIPN,OPS4,-0.2236,-0.11433,3.1927,0.1235,3.0271,0.1656,8.3097,-0.195225078,-0.347025062,-3.654354712,-5.488857734,7.206064972,-0.593105429,1.483396631,0.024062273,1.677949273,2.57006408,0.005550926,-0.704729287,-1.098639233,-0.120340796,0.265362548,0.680073453,0.120699375,1.75452758,-5.272134666,0.658449199,1.903720124,3.16911189,-3.468722402,2.882067285,-4.452318807,5.459379993,0.663001106,5.227212249,-3.826527946,55
4OMeCzIPN,OPS5,-0.1854,-0.07855,3.0441,0.1658,2.8555,0.1886,7.2548,-0.713463759,-0.145508343,-4.073027658,-5.113907626,9.122052848,0.112791843,1.209892386,-0.058718959,0.61387285,0.168864948,-1.62667075,-3.174158529,3.028293823,-2.817415037,0.075393018,-0.471625266,-2.766259755,0.760473217,-0.158787441,-4.926154796,5.124465163,-0.107638001,-1.108851003,-0.586974447,1.664841865,0.080562804,0.687250066,0.37541159,0.066920385,0
4PhCzIPN,OPS6,-0.19569,-0.09205,3.1279,0.0199,3.0439,0.084,20.3008,-1.233046984,-0.202528118,-2.872199505,-1.626400318,7.378963006,-0.545545886,1.06815087,-0.120315422,0.023119303,0.803635116,0.648670096,-0.963605602,-0.456574102,-0.831358232,0.090925937,-0.084827786,1.275437273,3.168923324,-2.389254355,1.368192348,0.59396044,1.921582927,-2.730796811,0.309157307,-0.623902464,-0.415975895,-0.892309722,0.889104211,1.301076175,22
4DPAIPN,OPS7,-0.19312,-0.07487,3.1324,0.1749,2.7578,0.3746,6.2,-1.110977469,-0.390132082,-1.567365814,-3.037723606,-0.698214043,-1.186251045,1.046639349,0.119515506,-0.750811694,-2.086995464,1.265796255,0.107732166,-1.92271155,2.334231051,5.266932568,0.971148564,-1.930704517,-0.525777318,-0.517979058,1.23258019,-1.031456435,-1.285598134,0.021839297,0.15012004,0.0386725,-0.299794564,-0.148375442,-0.355328533,-0.482988256,74
4tBuDPAIPN,OPS8,-0.18604,-0.07053,3.0323,0.1249,2.7092,0.3231,7.4625,-0.996849156,-0.29488138,-2.256442396,-4.282254016,-0.454590485,0.002901956,0.08771721,1.424531144,-0.951074024,-1.719174812,2.561664621,-1.170537644,-3.471160052,2.774859515,3.409534941,-3.439430148,-1.647526164,-1.220490149,1.48872566,-0.061779363,-2.128357737,-0.053173091,1.055084747,-0.559404701,-0.451103215,1.902294407,0.21572313,-1.504932254,-1.343081765,17
4MeDPAIPN,OPS9,-0.17956,-0.06622,3.0266,0.2025,2.7414,0.2852,6.204,-0.561161393,-0.571107396,-1.787732495,-4.163284822,-1.442857295,-0.553631465,0.60970644,0.633655122,-0.157716073,-1.479402384,1.13477781,-0.686419188,-1.092369365,2.352662053,6.006439575,-0.918416662,-1.134640469,-1.421016112,-0.496177897,0.619835669,-0.731294787,0.422679548,0.904706835,0.642983134,-0.574547373,-1.317838157,-0.572259925,0.487621326,-0.446704519,29
4FDPAIPN,OPS10,-0.19846,-0.08545,3.0458,0.1753,2.6241,0.4217,8.538,-0.454924119,-0.668168387,-1.932307446,-4.563092023,-0.898709808,-1.528596721,1.767523132,1.546809172,-0.636529917,-2.901172385,1.689389304,-0.280837064,-3.279690503,3.760119271,9.659806831,0.537876473,-3.441647171,-2.318824454,-1.332025016,2.255321164,-2.466606964,-2.402004465,0.200712396,-0.081172591,2.11599932,0.789883915,-3.968118441,-3.551665672,-1.632686293,71
