Name,ID,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,mordred_0,mordred_1,mordred_2,mordred_3,mordred_4,mordred_5,mordred_6,mordred_7,mordred_8,Yield
4CzIPN,OPS1,-0.20639,-0.0888,3.262,0.185,3.033,0.229,4.6952,23.49173841,-13.47359805,-1.625076171,-14.17428468,-1.541972776,-2.46343661,-2.263999194,-3.252859711,-3.749391621,74
4tBuCzIPN,OPS2,-0.19621,-0.08203,3.1887,0.1207,2.9803,0.2084,6.1138,60.51329903,23.60491639,10.71209662,-10.25982536,4.2122513,0.705570298,-13.93197996,-0.754123686,1.736113066,47
4MeCzIPN,OPS3,-0.19686,-0.08286,3.1729,0.1881,2.9538,0.2191,5.1244,32.47239481,-2.420786344,4.028010372,-13.59670993,0.066961834,-3.848341389,-3.903327691,-3.205364043,-1.835417395,37
4BrCzIPN,OPS4,-0.2236,-0.11433,3.1927,0.1235,3.0271,0.1656,6.2874,34.53328809,-28.64668635,5.808387808,6.262194116,22.84983328,-14.43488126,-2.681991643,-5.708931358,-1.479335991,55
4OMeCzIPN,OPS5,-0.1854,-0.07855,3.0441,0.1658,2.8555,0.1886,6.2109,37.53851181,-12.27194441,13.29278902,-6.343567192,-8.831135742,1.681836329,2.534670017,-14.65581158,17.52407996,0
4PhCzIPN,OPS6,-0.19569,-0.09205,3.1279,0.0199,3.0439,0.084,10.1616,61.65631154,-7.083217117,-6.626979325,-12.41463044,3.22272948,11.37557376,0.753856619,-6.3582826,-0.522074775,22
4DPAIPN,OPS7,-0.19312,-0.07487,3.1324,0.1749,2.7578,0.3746,5.9165,20.91820057,-5.545183428,-5.60714402,-2.845534438,-8.336979907,-3.775409524,6.289039745,12.18716083,0.280683705,74
4tBuDPAIPN,OPS8,-0.18604,-0.07053,3.0323,0.1249,2.7092,0.3231,6.9252,56.85012439,29.78845117,6.930022299,3.721963676,5.605450031,5.653870091,-10.89740361,8.091391034,5.973742335,17
4MeDPAIPN,OPS9,-0.17956,-0.06622,3.0266,0.2025,2.7414,0.2852,5.3216,30.52083465,5.12519859,0.862972789,-0.135648224,-5.614193479,-5.077263872,3.187910917,9.06263233,2.909968498,29
4FDPAIPN,OPS10,-0.19846,-0.08545,3.0458,0.1753,2.6241,0.4217,2.8928,25.78239577,-18.19761913,13.8632135,12.98701766,-14.69444646,10.5645484,6.212008476,6.342313155,7.926440462,71
4ClDPAIPN,OPS11,-0.21058,-0.09706,3.0915,0.2171,2.8025,0.289,4.7062,27.41272334,-15.42138136,3.110434324,11.03229024,2.506132938,-4.527171515,5.560518559,7.062337652,6.266228821,78
4BrDPAIPN,OPS12,-0.21247,-0.09943,3.0949,0.1964,2.7429,0.352,6.0311,31.48922204,-19.43132318,2.526535476,19.13102453,18.40994998,-14.42740307,5.611286007,7.311656199,4.478592293,74
3CzClIPN,OPS13,-0.21353,-0.09727,3.197,0.1616,3.0508,0.1462,1.5389,11.51760277,-14.10784794,-0.033657442,-10.8191507,-1.432081262,-4.902616754,-3.711621843,-1.665622082,-4.495554742,75
3tBuCzClIPN,OPS14,-0.20437,-0.09025,3.2311,0.1443,2.9647,0.2664,5.4178,40.69080374,18.96918492,10.1415713,-7.440791172,1.709577692,-4.44976289,-11.08601847,0.819845908,-0.547086532,49
3OMeCzClIPN,OPS15,-0.19139,-0.08693,3.0702,0.15,2.816,0.2542,6.0345,22.60166485,-12.48032617,12.72115219,-4.246792704,-8.391109629,-2.36244159,1.055786475,-11.35590648,12.9120688,0
4CzPN,OPS16,-0.20875,-0.09408,3.3208,0.0603,2.9977,0.3231,7.9573,23.61494008,-13.25114569,-1.451955113,-13.81621458,-1.86086216,-2.610124387,-1.402630305,-3.57136287,-2.979637018,58
4DPAPN,OPS17,-0.19091,-0.07659,3.1116,0.0363,2.7239,0.3877,6.8817,20.86353489,-5.671391497,-5.356388884,-2.571230677,-8.834817401,-4.023245312,7.455533337,11.94892191,1.043076474,6
4CzTPN,OPS18,-0.20627,-0.0993,3.083,0.2632,2.86,0.223,0.0023,23.19715798,-13.58637225,-1.721701375,-13.97982304,-2.250493692,-2.342681803,-1.702467453,-3.211834694,-3.158621203,13
4DPATPN,OPS19,-0.18716,-0.07998,2.8199,0.2384,2.4316,0.3883,1.2336,20.64410575,-5.960567778,-5.720965097,-2.690196689,-9.107807774,-3.588672515,6.858938524,12.23364311,0.887917657,2
1CzTRZ,OPS20,-0.19896,-0.07101,3.8438,0.8106,3.3406,0.5032,10.6241,-7.528073099,-2.997749652,-5.859561418,-3.827072453,-1.266883782,2.045150172,3.2179075,-2.810645204,-5.010172911,1
1tBuCzTRZ,OPS21,-0.19256,-0.06941,3.7237,0.8453,3.262,0.4617,12.5316,4.97401162,12.3060895,1.257545544,-0.85486302,-2.534792206,-3.61218393,0.854848679,-1.854264315,-5.957496226,6
1DPATRZ,OPS22,-0.18787,-0.06162,3.5635,1.1287,2.9505,0.613,10.4896,-8.274947716,0.054620267,-7.762903775,0.967696675,-3.254126576,2.249545971,4.836297048,1.267275185,-3.3272518,34
1tBuDPATRZ,OPS23,-0.18284,-0.05984,3.4961,1.167,2.896,0.6001,11.353,3.918755867,15.2712788,-0.613476466,5.105583529,-0.9741368,-0.584099853,0.104968988,-0.336728811,-3.751068154,39
1ClDPATRZ,OPS24,-0.19729,-0.06844,3.6168,1.114,3.022,0.5948,9.9926,-5.6015942,-4.191259324,-3.674520943,7.765397948,0.641668524,0.336266011,3.517320585,-1.661683886,-2.706052612,11
1BrDPATRZ,OPS25,-0.19686,-0.06856,3.6164,1.1245,3.0295,0.5869,9.9662,-4.176784856,-6.069748898,-3.590258071,11.40803226,7.135557335,-3.953787163,3.799598225,-2.080314054,-3.956036633,24
1OMeDPATRZ,OPS26,-0.17664,-0.05799,3.4627,1.1816,2.8529,0.6098,11.8434,-3.571459873,-0.168073728,-1.071200672,6.110453131,-6.592146022,2.285304869,4.853952387,-5.920210661,3.112844597,12
1PhDPATRZ,OPS27,-0.18459,-0.06306,3.4584,1.2285,2.9161,0.5423,10.9857,2.577253323,1.284384451,-9.512825465,2.023439263,-0.41654745,6.394212806,4.732561779,-1.195894747,-2.963955034,26
1PTZTRZ,OPS28,-0.18237,-0.07461,3.552,0.0001,3.4653,0.0867,7.9638,-7.693778788,-3.131180798,-5.811934931,-0.354281737,0.900434998,1.340416129,4.742699125,-1.936586376,-7.337708942,2
2CzBP,OPS29,-0.20318,-0.07263,3.7099,0.0185,3.2,0.5099,0.3507,-4.903375996,-4.193963339,-7.930312479,-4.900817912,4.395996058,10.0299457,-1.968673372,-6.390903524,-0.619824999,2
2DMABP,OPS30,-0.18839,-0.03296,3.8921,0.0113,3.2177,0.6744,1.0068,-20.67245872,13.95668699,4.389739258,12.02919197,-7.479346104,-6.973880046,-2.482534004,-4.783147454,5.701950354,0
2DPABP,OPS31,-0.18647,-0.05342,3.6117,1.1705,3.0476,0.5641,1.9736,-6.191094359,1.302834245,-10.86371773,3.352063573,0.271478263,9.676430268,2.712223445,1.470701483,1.613687769,47
2tBuDPABP,OPS32,-0.18033,-0.04947,3.5525,1.2289,3.0124,0.5401,2.2877,15.7737997,24.28538513,0.000543776,8.941714452,4.013228061,6.820659734,-3.012050085,0.792999296,-0.053996908,51
2MeDPABP,OPS33,-0.18065,-0.04943,3.5628,1.2249,3.0017,0.5611,2.5537,-0.263793694,7.985392937,-5.158518805,6.093401957,-0.709960038,4.577859051,3.320804684,-0.168186184,0.289040519,43
2ClDPABP,OPS34,-0.19983,-0.06696,3.6407,1.1958,3.0588,0.5819,2.02,-0.735107408,-5.755186639,-4.243127466,14.69665074,6.727603653,6.319744955,0.38127122,-2.464699321,2.579257025,47
2BrDPABP,OPS35,-0.19934,-0.06713,3.6355,1.2161,3.061,0.5745,2.0281,2.079864869,-8.890338514,-4.089899432,21.70443059,17.81108485,-1.790227717,0.915920886,-2.952377584,0.516332436,42
2PhDPABP,OPS36,-0.18364,-0.05648,3.4923,1.3807,3.0058,0.4865,2.2316,15.47765883,2.898856319,-13.21935366,4.998274469,4.481702454,17.36842202,3.678260258,-2.120890287,0.828164424,58
2CzPN,OPS37,-0.21407,-0.09152,3.5246,0.1345,3.1201,0.4045,8.6565,-4.094487082,-9.203039828,-2.715447336,-6.465249541,-1.020345528,-1.609328867,-2.931766107,-4.415612002,-0.902347944,24
2tBuCzPN,OPS38,-0.20513,-0.08754,3.3855,0.1164,3.0249,0.3606,10.0687,17.31345178,17.74210924,6.885243921,-3.206476582,-0.638007665,-6.439950315,-6.47821535,-1.403357939,-0.924901124,56
2ClCzPN,OPS39,-0.22798,-0.10735,3.5473,0.1024,3.1826,0.3647,9.166,0.700427084,-17.12574915,4.099750708,3.732979249,4.815977941,-5.506398775,-4.599998568,-6.88210038,0.227607545,29
1tBuDPAN,OPS40,-0.17692,-0.03796,3.7082,0.2172,3.0394,0.6688,3.7057,-7.30673789,21.35062857,-2.006992844,4.038228283,-0.123605163,-7.46731093,-2.014697229,-0.33040847,-1.102406781,0
PNZN,OPS41,-0.17142,-0.04905,3.5257,0,3.3342,0.1915,0.2832,-20.17371137,-3.186411303,-5.518736944,-3.428295024,-3.968506186,-2.890394801,1.897265843,-2.312389491,-2.399583236,3
biphenylPNZN,OPS42,-0.17067,-0.05197,3.4578,0.0005,2.9913,0.4665,2.2556,3.503228842,0.722897393,-8.787900055,-1.15884513,-0.122528599,3.786683976,3.413041527,-4.105338542,-3.637325432,62
PTZN,OPS43,-0.17982,-0.04987,3.76,0.0003,3.3275,0.4325,0.2077,-19.79468084,-1.398141165,-8.460412174,-2.600603416,2.394605804,-6.942251196,2.165303794,-3.270343275,-5.123514033,1
biphenylPTZN,OPS44,-0.17757,-0.05224,3.6231,0.4335,3.118,0.5051,1.396,3.339941997,1.835299534,-11.37523535,-0.168824017,3.163735754,2.173262835,3.608573833,-6.019678746,-6.064852016,76
CF3PTZN,OPS45,-0.18961,-0.0591,3.6146,0.3629,3.1037,0.5109,1.5781,-1.060670415,-8.981093133,15.09829843,10.4887377,-3.314359113,15.36576364,-3.601723305,-5.839446203,-11.23027129,49
2DPAB,OPS46,-0.16958,-0.01609,3.8658,0.0227,3.291,0.5748,0,-12.54861492,3.296973944,-13.52411036,0.919735053,-1.528697983,2.811715155,4.592837764,3.154576468,3.997506023,0
2DPAN,OPS47,-0.17654,-0.04474,3.4914,0.4022,2.8244,0.667,1.4109,-7.836204577,1.416131014,-12.02704774,-1.825306372,-3.486224815,-0.498355391,6.361841977,2.853553521,0.180932218,1
2tBuDPAN,OPS48,-0.17028,-0.04135,3.4103,0.4193,2.784,0.6263,1.6044,13.54913195,25.55371101,-0.565053822,4.754717702,2.065217631,-0.993353851,-1.689602331,1.285154073,-0.191473152,1
2MeDPAN,OPS49,-0.16909,-0.04084,3.3744,0.4004,2.7522,0.6222,1.6494,-1.960536155,8.529891162,-5.901496646,1.16104829,-3.558889973,-4.41467745,5.643896149,0.950238096,-0.033360976,1
2DPAA,OPS50,-0.17836,-0.06945,2.9725,0.2857,2.1241,0.8484,0,-3.18667775,-0.700942844,-11.26553843,-4.894770142,-5.298134774,-3.080812557,7.547234224,4.091600627,-2.174566709,0
2tBuDPAA,OPS51,-0.17252,-0.0666,2.8792,0.2813,2.1027,0.7765,0.0088,17.82737431,23.41299998,-0.362389474,1.739432143,0.844339396,-2.085981547,-1.288164326,1.938297921,-1.068813808,0
2MeDPAA,OPS52,-0.17204,-0.06625,2.8733,0.2734,2.1007,0.7726,0.0023,2.567488678,6.317601439,-5.667495186,-2.116567652,-4.817208198,-5.920649286,6.197184694,2.075278795,-1.586827506,0
2OMeDPAA,OPS53,-0.16348,-0.0643,2.7205,0.254,2.0389,0.6816,0,4.670658039,-0.686607922,-0.156048402,2.96925376,-8.761089103,1.289636236,7.320205926,-7.230396608,9.586707302,0
3CzNB,OPS54,-0.20716,-0.08754,3.4177,0.0669,3.0551,0.3626,1.3584,7.996363294,-11.62467503,-0.300987328,-8.615900568,-0.912554594,1.710061988,-6.410811552,-0.845140325,-5.509411267,0
3DPANB,OPS55,-0.18594,-0.06772,3.1973,0.0899,2.9176,0.2797,4.0204,6.190790743,-3.781223199,-3.802199365,1.145963326,-6.440679827,0.732939771,0.323145998,11.41594523,-2.074720784,2
3MeDPANB,OPS56,-0.17746,-0.05853,3.1371,0.1188,2.832,0.3051,4.5939,13.77524035,5.246005737,1.964643503,3.908984561,-5.148169597,-2.360213315,-0.637809622,8.733306408,-0.884626509,0
3BrDPANB,OPS57,-0.20296,-0.08203,3.2471,0.1278,2.8964,0.3507,4.5406,15.89000123,-16.39013326,3.780676908,21.77648135,16.69898159,-11.62850917,-0.638488065,6.996017317,-0.033168797,8
2CzAQ,OPS58,-0.20593,-0.1085,3.1012,0,2.7358,0.3654,0,-1.07956749,-9.002295453,-2.906636993,-5.154930705,2.759980098,8.123565836,-4.271437964,-6.630280686,-3.06593626,0
2DPAAQ,OPS59,-0.19071,-0.08747,2.9778,0,2.4274,0.5504,0,-2.232305199,-3.652741326,-5.416603415,1.971670787,-1.653018898,7.398875326,0.526709294,1.422407025,-1.184454974,0
2DPASF,OPS60,-0.19054,-0.04376,3.8676,0.907,3.2936,0.574,2.9746,-4.603405285,1.508578636,-6.901109682,8.153915991,3.250841868,10.69930476,0.738855746,-1.276758793,-3.121299918,0
2tBuDPASF,OPS61,-0.18418,-0.03958,3.8148,0.9369,3.2521,0.5627,3.2162,17.10698614,24.08131916,2.699498411,11.80616162,6.238561637,8.356052552,-4.813660757,-0.979021723,-3.602249608,1
2MeDPASF,OPS62,-0.18439,-0.03949,3.8224,0.9468,3.2533,0.5691,3.1821,1.20895921,8.104987785,-1.768379912,9.92051141,2.183261278,6.10769121,1.280723108,-2.430853551,-3.947038066,0
CF3PhDPZ,OPS63,-0.1619,-0.04155,3.3175,0,2.9345,0.383,0,-11.3099451,-10.90609361,19.20862321,11.57640586,-6.859119614,21.37276197,-5.472551566,-3.38180567,-6.522373871,15
OMePhDPZ,OPS64,-0.14485,-0.01104,3.4138,0,2.897,0.5168,0,-12.69159486,0.102149581,-1.244804831,1.668908498,-5.952416694,0.1374974,3.581917537,-4.951977618,6.495302793,1
NapDPZ,OPS65,-0.15201,-0.04408,3.3012,0,2.9882,0.313,0.0824,-8.832353849,-0.378102568,-8.562182051,-3.526280932,-1.299363036,-1.378473675,3.757368712,-1.332620238,-3.119867727,10
3DPA2FBN,OPS66,-0.18763,-0.0591,3.3289,0.2519,2.9793,0.3496,3.1025,7.806705387,-8.636154096,2.037997796,-2.252530291,-9.286703703,-2.804395628,3.306865015,16.22903566,-1.440395075,65
5CzBN,OPS67,-0.20063,-0.07542,3.5356,0.2762,3.2477,0.2879,4.9407,33.95828033,-12.99716175,-2.900351288,-16.95536998,0.384091893,-0.166697011,-1.306593039,-4.86816186,-3.291139451,79
2DPABz,OPS68,-0.19069,-0.06958,3.0227,0.0037,2.5871,0.4356,0.3529,-5.138349061,-0.756131318,-8.468906922,3.196334956,-0.14689831,12.13328162,1.371025821,2.898825643,0.666278318,0
DPABT,OPS69,-0.18556,-0.05394,3.5717,1.3009,2.8871,0.6846,6.0432,-16.70574722,-0.714674078,-10.70475711,0.964666257,5.368293119,0.532332965,0.253103989,-4.715649842,0.895435237,1
PhPNZ,OPS70,-0.16899,-0.01766,3.9776,0.035,3.3033,0.6743,0.7966,-25.80434298,-2.410929081,-6.377468095,-3.562044244,-2.69424478,-0.205302767,1.160994591,0.531268983,1.620315268,0
PhPTZ,OPS71,-0.16887,-0.02148,3.713,0.0109,3.1473,0.5657,0.2434,-25.38241946,-0.488921348,-9.890210784,-2.523374276,4.333095883,-4.595769935,1.241074502,-1.010025464,-0.895563589,0
ph_bPTZ,OPS72,-0.17426,-0.03323,3.7625,0.223,3.1359,0.6266,4.6819,-19.10690031,-0.786582376,-8.158140485,-2.001450136,1.499695856,-7.225348228,2.000650384,-2.563964558,-4.546888167,7
9_10_DPA,OPS73,-0.1872,-0.05837,3.639,0.3496,2.3196,1.3194,0,-16.95720343,0.935443407,-13.31190992,-8.987070743,-0.561957058,-5.28434435,-0.653752029,3.896872779,0.360358353,0
9_10_DAA,OPS74,-0.18384,-0.05504,3.6356,0.3763,2.318,1.3176,0,-12.67941605,0.829764183,-4.574920774,-1.287252087,-3.941331823,-2.001299211,0.213645844,-6.228516322,5.623316762,0
perylene,OPS75,-0.18188,-0.06947,3.196,0.791,2.0783,1.1177,0,-23.86952196,-0.315246816,-11.68326485,-12.13978894,5.09333019,-3.058593696,-6.002107662,2.311598236,3.288907288,0
