P(E_S1) + P(E_T1),P(E_S1) + P(LUMO),P(E_S1) + P(f_S1),P(E_T1) + P(LUMO),P(E_T1) + P(f_S1),P(dDM) + P(E_S1),P(dDM) + P(E_T1),P(dDM) + P(LUMO),P(dDM) + P(dEST),P(dDM) + P(f_S1),P(dEST) + P(E_S1),P(dEST) + P(E_T1),P(dEST) + P(LUMO),P(dEST) + P(f_S1),P(f_S1) + P(LUMO),P(E_S1) / P(E_T1),P(E_S1) / P(LUMO),P(E_S1) / P(dDM),P(E_S1) / P(dEST),P(E_S1) / P(f_S1),P(E_T1) / P(E_S1),P(E_T1) / P(LUMO),P(E_T1) / P(dDM),P(E_T1) / P(dEST),P(E_T1) / P(f_S1),P(LUMO) / P(E_S1),P(LUMO) / P(E_T1),P(LUMO) / P(dDM),P(LUMO) / P(dEST),P(LUMO) / P(f_S1),P(dDM) / P(E_S1),P(dDM) / P(E_T1),P(dDM) / P(LUMO),P(dDM) / P(dEST),P(dDM) / P(f_S1),P(dEST) / P(E_S1),P(dEST) / P(E_T1),P(dEST) / P(LUMO),P(dEST) / P(dDM),P(dEST) / P(f_S1),P(f_S1) / P(E_S1),P(f_S1) / P(E_T1),P(f_S1) / P(LUMO),P(f_S1) / P(dDM),P(f_S1) / P(dEST),P(E_S1) * P(E_T1),P(E_S1) * P(LUMO),P(E_S1) * P(f_S1),P(E_T1) * P(LUMO),P(E_T1) * P(f_S1),P(dDM) * P(E_S1),P(dDM) * P(E_T1),P(dDM) * P(LUMO),P(dDM) * P(dEST),P(dDM) * P(f_S1),P(dEST) * P(E_S1),P(dEST) * P(E_T1),P(dEST) * P(LUMO),P(dEST) * P(f_S1),P(f_S1) * P(LUMO),P(E_S1) - P(E_T1),P(E_S1) - P(LUMO),P(E_S1) - P(f_S1),P(E_T1) - P(LUMO),P(E_T1) - P(f_S1),P(dDM) - P(E_S1),P(dDM) - P(E_T1),P(dDM) - P(LUMO),P(dDM) - P(dEST),P(dDM) - P(f_S1),P(dEST) - P(E_S1),P(dEST) - P(E_T1),P(dEST) - P(LUMO),P(dEST) - P(f_S1),P(f_S1) - P(LUMO)
1.0899999999999999,0.65,0.8300000000000001,0.96,1.14,1.05,1.3599999999999999,0.92,0.76,1.1,0.49,0.7999999999999999,0.36,0.54,0.7,0.5571428571428572,1.5,0.5909090909090909,3.9,0.8863636363636364,1.7948717948717947,2.692307692307692,1.0606060606060606,6.999999999999999,1.5909090909090908,0.6666666666666666,0.37142857142857144,0.3939393939393939,2.6,0.5909090909090909,1.6923076923076923,0.942857142857143,2.5384615384615383,6.6,1.5,0.25641025641025644,0.14285714285714288,0.38461538461538464,0.15151515151515152,0.2272727272727273,1.1282051282051282,0.6285714285714287,1.6923076923076923,0.6666666666666666,4.3999999999999995,0.27299999999999996,0.1014,0.1716,0.182,0.308,0.2574,0.46199999999999997,0.1716,0.066,0.2904,0.03900000000000001,0.06999999999999999,0.026000000000000002,0.044000000000000004,0.1144,-0.30999999999999994,0.13,-0.04999999999999999,0.43999999999999995,0.25999999999999995,0.27,-0.039999999999999925,0.4,0.56,0.22000000000000003,-0.29000000000000004,-0.6,-0.16,-0.33999999999999997,0.18
0.8799999999999999,0.655,0.61,0.955,0.9099999999999999,1.13,1.43,1.205,0.9099999999999999,1.16,0.36,0.6599999999999999,0.435,0.39,0.685,0.4915254237288135,0.7945205479452054,0.34523809523809523,4.142857142857142,0.9062499999999999,2.0344827586206895,1.6164383561643836,0.7023809523809523,8.428571428571427,1.8437499999999998,1.2586206896551724,0.6186440677966102,0.43452380952380953,5.2142857142857135,1.140625,2.896551724137931,1.423728813559322,2.3013698630136985,11.999999999999998,2.625,0.24137931034482762,0.11864406779661019,0.19178082191780824,0.08333333333333334,0.21875000000000003,1.1034482758620692,0.5423728813559322,0.8767123287671234,0.380952380952381,4.571428571428571,0.17109999999999997,0.10584999999999999,0.0928,0.21534999999999999,0.1888,0.24359999999999998,0.49559999999999993,0.3066,0.058800000000000005,0.2688,0.020300000000000002,0.0413,0.025550000000000003,0.022400000000000003,0.1168,-0.3,-0.07500000000000001,-0.030000000000000027,0.22499999999999998,0.26999999999999996,0.55,0.25,0.475,0.77,0.52,-0.21999999999999997,-0.52,-0.295,-0.25,-0.044999999999999984
0.8300000000000001,0.6200000000000001,0.73,0.8900000000000001,1.0,0.99,1.26,1.05,0.7899999999999999,1.16,0.36000000000000004,0.63,0.42000000000000004,0.53,0.79,0.5090909090909091,0.823529411764706,0.3943661971830986,3.5000000000000004,0.6222222222222222,1.9642857142857142,1.6176470588235294,0.7746478873239437,6.875,1.2222222222222223,1.2142857142857142,0.6181818181818182,0.4788732394366198,4.25,0.7555555555555555,2.535714285714285,1.2909090909090908,2.0882352941176467,8.875,1.5777777777777777,0.2857142857142857,0.14545454545454545,0.23529411764705882,0.11267605633802817,0.17777777777777778,1.607142857142857,0.8181818181818181,1.3235294117647058,0.6338028169014085,5.625,0.15400000000000003,0.09520000000000002,0.12600000000000003,0.18700000000000003,0.24750000000000003,0.1988,0.3905,0.2414,0.056799999999999996,0.3195,0.022400000000000003,0.044000000000000004,0.027200000000000002,0.036000000000000004,0.15300000000000002,-0.27,-0.06,-0.16999999999999998,0.21000000000000002,0.10000000000000003,0.42999999999999994,0.15999999999999992,0.36999999999999994,0.63,0.25999999999999995,-0.2,-0.47000000000000003,-0.26,-0.37,0.10999999999999999
0.98,0.4,0.63,0.78,1.01,1.11,1.4900000000000002,0.91,0.8500000000000001,1.1400000000000001,0.33999999999999997,0.7200000000000001,0.14,0.37,0.43000000000000005,0.4411764705882352,2.9999999999999996,0.37037037037037035,7.5,0.9090909090909091,2.266666666666667,6.8,0.8395061728395061,17.0,2.0606060606060606,0.33333333333333337,0.14705882352941177,0.12345679012345678,2.5,0.30303030303030304,2.7,1.1911764705882353,8.1,20.25,2.4545454545454546,0.13333333333333333,0.058823529411764705,0.39999999999999997,0.04938271604938271,0.12121212121212122,1.1,0.4852941176470588,3.3,0.4074074074074074,8.25,0.20400000000000001,0.03,0.099,0.068,0.22440000000000002,0.243,0.5508000000000001,0.08100000000000002,0.032400000000000005,0.26730000000000004,0.012,0.027200000000000002,0.004,0.013200000000000002,0.033,-0.38000000000000006,0.19999999999999998,-0.030000000000000027,0.5800000000000001,0.35000000000000003,0.51,0.13,0.7100000000000001,0.77,0.48000000000000004,-0.26,-0.64,-0.060000000000000005,-0.29000000000000004,0.23
0.59,0.55,0.5599999999999999,0.8400000000000001,0.85,0.97,1.26,1.22,0.87,1.23,0.2,0.49,0.45,0.45999999999999996,0.81,0.3409090909090909,0.37499999999999994,0.18292682926829268,2.9999999999999996,0.36585365853658536,2.9333333333333336,1.0999999999999999,0.5365853658536586,8.799999999999999,1.0731707317073171,2.666666666666667,0.9090909090909092,0.48780487804878053,8.0,0.9756097560975611,5.466666666666667,1.8636363636363635,2.05,16.4,2.0,0.33333333333333337,0.11363636363636365,0.125,0.06097560975609757,0.12195121951219513,2.7333333333333334,0.9318181818181818,1.025,0.5,8.2,0.066,0.06,0.06149999999999999,0.17600000000000002,0.18039999999999998,0.12299999999999998,0.36079999999999995,0.328,0.041,0.33619999999999994,0.0075,0.022000000000000002,0.020000000000000004,0.0205,0.164,-0.29000000000000004,-0.25,-0.26,0.03999999999999998,0.030000000000000027,0.6699999999999999,0.37999999999999995,0.41999999999999993,0.7699999999999999,0.41,-0.09999999999999999,-0.39,-0.35000000000000003,-0.36,0.009999999999999953
0.97,0.48,0.45999999999999996,0.95,0.9299999999999999,1.1800000000000002,1.65,1.1600000000000001,0.9400000000000001,1.1400000000000001,0.26,0.73,0.24000000000000002,0.22,0.44,0.3472222222222222,1.0869565217391304,0.26881720430107525,25.0,1.1904761904761905,2.88,3.1304347826086953,0.7741935483870968,72.0,3.4285714285714284,0.92,0.3194444444444445,0.24731182795698925,23.0,1.0952380952380953,3.72,1.2916666666666667,4.043478260869565,93.0,4.428571428571429,0.04,0.01388888888888889,0.043478260869565216,0.01075268817204301,0.04761904761904762,0.84,0.2916666666666667,0.9130434782608695,0.2258064516129032,21.0,0.18,0.0575,0.0525,0.1656,0.1512,0.2325,0.6696,0.2139,0.009300000000000001,0.1953,0.0025,0.0072,0.0023,0.0021,0.0483,-0.47,0.01999999999999999,0.04000000000000001,0.49,0.51,0.68,0.21000000000000008,0.7000000000000001,0.92,0.7200000000000001,-0.24,-0.71,-0.22,-0.19999999999999998,-0.020000000000000018
0.63,0.72,0.6799999999999999,0.8300000000000001,0.79,1.0,1.1099999999999999,1.2,1.02,1.16,0.54,0.65,0.74,0.7,0.88,0.7027027027027027,0.5652173913043478,0.35135135135135137,0.9285714285714285,0.6190476190476191,1.423076923076923,0.8043478260869564,0.5,1.3214285714285714,0.8809523809523809,1.7692307692307692,1.2432432432432432,0.6216216216216216,1.6428571428571428,1.0952380952380953,2.846153846153846,2.0,1.6086956521739129,2.642857142857143,1.7619047619047619,1.076923076923077,0.7567567567567568,0.6086956521739131,0.3783783783783784,0.6666666666666667,1.6153846153846152,1.135135135135135,0.9130434782608695,0.5675675675675675,1.4999999999999998,0.09620000000000001,0.11960000000000001,0.1092,0.17020000000000002,0.15539999999999998,0.19240000000000002,0.2738,0.34040000000000004,0.20720000000000002,0.31079999999999997,0.0728,0.10360000000000001,0.12880000000000003,0.11760000000000001,0.1932,-0.10999999999999999,-0.2,-0.15999999999999998,-0.09000000000000002,-0.04999999999999999,0.48,0.37,0.27999999999999997,0.45999999999999996,0.32,0.020000000000000018,-0.08999999999999997,-0.18,-0.13999999999999996,-0.040000000000000036
0.45,0.65,0.48000000000000004,0.8200000000000001,0.65,0.99,1.16,1.3599999999999999,1.045,1.19,0.335,0.505,0.7050000000000001,0.535,0.8500000000000001,0.4516129032258065,0.27450980392156865,0.1647058823529412,0.717948717948718,0.411764705882353,2.214285714285714,0.6078431372549019,0.36470588235294116,1.5897435897435896,0.9117647058823529,3.642857142857143,1.6451612903225807,0.6,2.6153846153846154,1.5,6.07142857142857,2.7419354838709675,1.6666666666666665,4.358974358974359,2.4999999999999996,1.3928571428571428,0.6290322580645161,0.3823529411764706,0.22941176470588237,0.5735294117647058,2.4285714285714284,1.0967741935483872,0.6666666666666667,0.4,1.7435897435897436,0.0434,0.0714,0.04760000000000001,0.1581,0.10540000000000001,0.11900000000000001,0.2635,0.4335,0.16575,0.28900000000000003,0.027300000000000005,0.060450000000000004,0.09945000000000001,0.06630000000000001,0.17340000000000003,-0.16999999999999998,-0.37,-0.2,-0.2,-0.030000000000000027,0.71,0.54,0.33999999999999997,0.655,0.51,0.05499999999999999,-0.11499999999999999,-0.315,-0.14500000000000002,-0.16999999999999998
0.47000000000000003,0.77,0.61,0.98,0.8200000000000001,0.85,1.06,1.3599999999999999,0.86,1.2,0.27,0.48000000000000004,0.78,0.62,1.12,0.38235294117647056,0.203125,0.18055555555555558,0.9285714285714285,0.27083333333333337,2.6153846153846154,0.53125,0.47222222222222227,2.4285714285714284,0.7083333333333334,4.923076923076923,1.8823529411764706,0.888888888888889,4.571428571428571,1.3333333333333335,5.538461538461538,2.117647058823529,1.125,5.142857142857142,1.5,1.076923076923077,0.411764705882353,0.21875000000000003,0.19444444444444448,0.2916666666666667,3.692307692307692,1.4117647058823528,0.75,0.6666666666666666,3.428571428571428,0.0442,0.08320000000000001,0.0624,0.21760000000000002,0.1632,0.0936,0.24480000000000002,0.4608,0.1008,0.34559999999999996,0.0182,0.04760000000000001,0.08960000000000001,0.06720000000000001,0.3072,-0.21000000000000002,-0.51,-0.35,-0.3,-0.13999999999999996,0.59,0.37999999999999995,0.07999999999999996,0.58,0.24,0.010000000000000009,-0.2,-0.5,-0.33999999999999997,-0.16000000000000003
0.44000000000000006,0.47,0.59,0.5900000000000001,0.71,0.7100000000000001,0.8300000000000001,0.8600000000000001,0.91,0.98,0.52,0.64,0.6699999999999999,0.79,0.74,0.5714285714285714,0.5161290322580645,0.2909090909090909,0.4444444444444445,0.37209302325581395,1.7500000000000002,0.903225806451613,0.5090909090909091,0.7777777777777779,0.6511627906976745,1.9375,1.107142857142857,0.5636363636363636,0.8611111111111112,0.7209302325581396,3.4375,1.9642857142857142,1.774193548387097,1.527777777777778,1.2790697674418605,2.25,1.2857142857142856,1.161290322580645,0.6545454545454544,0.8372093023255813,2.6875,1.5357142857142856,1.3870967741935483,0.7818181818181817,1.1944444444444444,0.044800000000000006,0.0496,0.0688,0.0868,0.12040000000000001,0.08800000000000001,0.15400000000000003,0.1705,0.198,0.23650000000000002,0.0576,0.1008,0.11159999999999999,0.1548,0.1333,-0.12000000000000002,-0.15,-0.27,-0.02999999999999997,-0.14999999999999997,0.39,0.27,0.24000000000000005,0.19000000000000006,0.12000000000000005,0.19999999999999998,0.07999999999999996,0.04999999999999999,-0.07,0.12
