,r2_unlab
0,0.5861734891457357
1,0.6077254332523911
2,0.5388248718623976
3,0.784268132801565
4,0.49777357750036977
5,0.6287165729534772
6,0.709554968193618
7,0.6994163086859378
8,0.7083931677491004
9,0.43279034880142897
10,0.6740476376479083
11,0.6992065090633663
12,0.6009305085728958
13,0.7068769815778839
14,0.5840269103242834
15,0.7262698750844794
16,0.7156301348381485
17,0.6121706471175952
18,0.7078689779620893
19,0.5680904217391487
20,0.6972886603542119
21,0.5984190422394119
22,0.810957751847055
23,0.4180425826284715
24,0.4337639688641086
25,0.7317426177252477
26,0.6795278469432607
27,0.7036263777438185
28,0.7512163056493932
29,0.6758855199222634
30,0.7119748675914319
31,0.7065369814355186
32,0.6099237618625916
33,0.7355253775104653
34,0.7371566803098878
35,0.5494458276552971
36,0.7979289759991943
37,0.6757962026644424
38,0.7425710673491697
39,0.7000001782965765
40,0.7047233802380956
41,0.7304287580982136
42,0.7664372645347538
43,0.6333974343514999
44,0.7098240591929772
45,0.5638528084845799
46,0.6393130222177712
47,0.6852211543708726
48,0.5525642383013145
49,0.6679652642695122
50,0.6699870226259024
51,0.6545215759915882
52,0.7269064568108453
53,0.5173944638571932
54,0.8042321757237514
55,0.4557094412156171
56,0.7027493992485485
57,0.7528030241881773
58,0.640526603596837
59,0.7968028837697466
60,0.6198627865755144
61,0.5330369071284888
62,0.6912578554894697
63,0.6798146574944156
64,0.6633598614502991
65,0.6883376532512895
66,0.634751843674805
67,0.6641985177004455
68,0.6648435631062409
69,0.7154638534525521
70,0.7176402474799906
71,0.44758167272704685
72,0.6523677452955239
73,0.5335770460907268
74,0.5513413017835238
75,0.795517237775715
76,0.7079245605657307
77,0.5889190846024799
78,0.7757545657826361
79,0.7283386145916475
80,0.6887669075466785
81,0.24319537577946082
82,0.5790105574128588
83,0.7160681032439207
84,0.7651635611250945
85,0.5899071076035731
86,0.8173179355007457
87,0.6440903053355447
88,0.7590762409888401
89,0.7603340441700387
90,0.4887378176826077
91,0.7933741522518672
92,0.38098154198620815
93,0.7008659780931963
94,0.4925665021236175
95,0.6560077854343593
96,0.7842042428030551
97,0.6430062112813053
98,0.7095644717024931
99,0.6961830966196159
