,R2_score
0,0.46375461603180135
1,0.44820761736083725
2,0.5111924403548367
3,0.5448719561429823
4,0.5180153612609382
5,0.39583848557155643
6,0.4157073652472947
7,0.2840480186945792
8,0.5548844021163004
9,0.41279407144674685
10,0.3211834535056186
11,0.4235770762567894
12,0.4861328893656215
13,0.3442847110426023
14,0.35725315288501314
15,0.5761662126435616
16,0.6122521844372174
17,0.37416397011733116
18,0.33000926155978916
19,0.4299788711693311
20,0.19385664345394638
21,0.3455861967074296
22,0.566144429567861
23,0.43764590799912384
24,0.43052733819836086
25,0.5738142432954265
26,0.3569885494652696
27,0.4882252467903907
28,0.451263164762577
29,0.3407203248525088
30,0.46657787114673166
31,0.19435175082373002
32,0.4800651567852027
33,0.5960348441665104
34,0.4010121486093844
35,0.3467150673777736
36,0.5649075931285907
37,0.2743567104585889
38,0.4627382244542909
39,0.48694337745709926
40,0.6554678716180683
41,0.5025912605114234
42,0.47007011222582507
43,0.590168632766968
44,0.4123044492567284
45,0.4028919519656927
46,0.4497952080683639
47,0.4256282643325514
48,0.5740491012213016
49,0.27355133850588986
50,0.4694570471457933
51,0.320820605379481
52,0.08911562167624731
53,0.35810391563152755
54,0.5064213486749712
55,0.45740988907479085
56,0.5431407031273995
57,0.38438499966449347
58,0.4527289281951067
59,0.5174769445089656
60,0.5726694343243204
61,0.4631499663315345
62,0.5485939669817702
63,0.44020776614143686
64,0.5882682507377746
65,0.5193464190522981
66,0.5756897826195113
67,0.4523419629341219
68,0.21476688087458695
69,0.3018815949814485
70,0.11940677230814012
71,0.4324169449077123
72,0.49271088156134246
73,0.5060261054567101
74,0.445103862468777
75,0.42819900227308283
76,0.42803831432883677
77,0.20346085014597437
78,0.4611122375795066
79,0.5705296927582308
80,0.25210738482076755
81,0.38136555159113006
82,0.6464409947568022
83,0.45577797685118726
84,0.46697091933671775
85,0.4265279121330794
86,0.37489791657085014
87,0.13654524263962997
88,0.4393141011322963
89,0.3215945704585583
90,0.52998521287837
91,0.5371901120803539
92,0.41337808919275365
93,0.4962728735574131
94,0.5402302884580431
95,0.47252475704872776
96,0.5092839654003103
97,0.5381016904781677
98,0.49255019487908613
99,0.3218385781074061
