Name,ID,mordred_0,mordred_1,mordred_2,mordred_3,mordred_4,mordred_5,mordred_6,mordred_7,mordred_8,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
4CzIPN,OPS1,23.49173841,-13.47359805,-1.625076171,-14.17428473,-1.541972761,-2.463437118,-2.263997345,-3.252854396,-3.749309072,1,0,0,0,41
4tBuCzIPN,OPS2,60.51329903,23.60491639,10.71209662,-10.25982544,4.212249629,0.705574751,-13.93197922,-0.754102169,1.736042636,1,0,0,0,62
4MeCzIPN,OPS3,32.47239481,-2.420786344,4.028010375,-13.59671019,0.066960393,-3.848336519,-3.903321636,-3.205372921,-1.835060819,1,0,0,0,40
4BrCzIPN,OPS4,34.53328809,-28.64668635,5.808387812,6.262193908,22.8498313,-14.43487476,-2.681983354,-5.708893694,-1.479268285,1,0,0,0,35
4OMeCzIPN,OPS5,37.53851181,-12.27194441,13.29278902,-6.343567051,-8.831135041,1.681837636,2.534683342,-14.65577062,17.5236403,1,0,0,0,24
4PhCzIPN,OPS6,61.65631154,-7.083217115,-6.626979323,-12.4146307,3.222727801,11.37557589,0.753848386,-6.358333922,-0.521457604,1,0,0,0,41
4DPAIPN,OPS7,20.91820057,-5.545183428,-5.60714402,-2.845534519,-8.336980705,-3.775411973,6.289029109,12.18715758,0.280937423,1,0,0,0,63
4tBuDPAIPN,OPS8,56.85012439,29.78845117,6.930022296,3.721963893,5.605451482,5.653867112,-10.89741313,8.091390699,5.973537923,1,0,0,0,54
4MeDPAIPN,OPS9,30.52083465,5.125198591,0.862972792,-0.13564859,-5.614194962,-5.077263108,3.187904163,9.062603321,2.91073869,1,0,0,0,57
4FDPAIPN,OPS10,25.78239577,-18.19761913,13.8632135,12.98701736,-14.69444585,10.56455245,6.212030227,6.342251028,7.926973158,1,0,0,0,70
4ClDPAIPN,OPS11,27.41272334,-15.42138136,3.110434318,11.03229034,2.506135005,-4.527181485,5.560492198,7.062225257,6.266715096,1,0,0,0,66
4BrDPAIPN,OPS12,31.48922204,-19.43132318,2.526535477,19.13102439,18.40994838,-14.42740186,5.611278854,7.311671197,4.478823114,1,0,0,0,58
3CzClIPN,OPS13,11.51760277,-14.10784794,-0.033657445,-10.81915052,-1.432080632,-4.902620509,-3.711629023,-1.66562511,-4.49579855,1,0,0,0,34
3tBuCzClIPN,OPS14,40.69080374,18.96918492,10.1415713,-7.4407911,1.709576913,-4.449762918,-11.08602417,0.819855011,-0.547316626,1,0,0,0,55
3OMeCzClIPN,OPS15,22.60166485,-12.48032617,12.72115219,-4.246792411,-8.391108316,-2.362443058,1.055792356,-11.35587863,12.91144647,1,0,0,0,27
