Name,ID,MF_0,MF_1,MF_2,MF_3,MF_4,MF_5,MF_6,MF_7,MF_8,MF_9,MF_10,MF_11,MF_12,MF_13,MF_14,MF_15,MF_16,MF_17,MF_18,MF_19,MF_20,MF_21,MF_22,MF_23,MF_24,MF_25,MF_26,MF_27,MF_28,Reaction_CO_1.5h,Reaction_CO_7.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
4CzIPN,OPS1,-0.635023209,0.10277713,-3.632377961,2.975750228,6.577819989,-0.644171069,0.410123708,0.020175988,1.045076248,-0.273482216,-0.11603476,0.921566356,0.411617984,0.422223718,-1.540482247,-1.091027395,1.30681848,0.539953196,2.283542006,0.382339855,1.00381872,0.08442732,-1.220826455,-0.375706664,-1.588501923,0.815600957,-2.983755471,0.698274836,1.133081398,0,0,0,0,0,0,0,1,74
4tBuCzIPN,OPS2,-0.412368929,0.795428078,-4.519101383,2.843314759,7.734908871,1.575590275,0.380506478,-0.894755961,1.008676271,-1.327951229,-1.598517238,-0.395232216,0.894501295,-0.579203433,-1.555505841,4.620632696,-1.250940724,1.231898986,0.361394228,0.610754958,0.40782165,0.935498735,0.834542719,0.173945559,2.91835093,-0.867468138,-0.71618326,-0.261567814,0.61478822,0,0,0,0,0,0,0,1,47
4MeCzIPN,OPS3,-0.131399024,0.349437702,-4.07269103,1.68146462,6.929533805,0.305084593,0.531572328,-0.10618965,2.784139318,-0.372200642,-0.093484278,0.187072292,0.157212204,0.591599267,0.727951692,1.252481599,-1.042269686,0.452287263,2.066128845,-0.382848553,2.060545289,0.919081145,-0.978018574,-0.520520923,-0.552776849,-0.212743433,-3.28922783,0.489242993,2.073960045,0,0,0,0,0,0,0,1,37
4BrCzIPN,OPS4,0.285431367,0.900730004,-4.688104441,1.782210038,8.043708233,-0.880817809,1.004457747,-0.189397447,2.487908582,-0.299255939,-0.599042977,0.219954101,1.121410256,0.290413789,0.117764204,0.530049321,-1.716627466,-2.689438212,3.402666558,0.442425101,4.080928535,0.199400219,-5.936908349,-0.277482437,5.832323573,5.179974789,-2.891847795,1.267192935,-2.606599812,0,0,0,0,0,0,0,1,55
4OMeCzIPN,OPS5,-0.432515314,0.228528712,-4.558585531,3.725076269,8.461945691,0.08118176,0.332720727,-0.168238243,1.151266552,2.350866201,-0.667631661,0.229239797,-0.80030542,-3.288633919,4.039209245,-0.246701266,0.403530021,-1.283457654,-0.865273079,-4.512609943,2.739076615,-3.033255171,-0.342287901,2.146161845,-0.66619012,0.323996073,1.20014258,-0.079361914,0.063888977,0,0,0,0,0,0,0,1,0
4PhCzIPN,OPS6,-0.861752684,0.424860404,-3.123482076,4.221005479,5.460064107,-0.679648603,0.697622426,0.147517487,0.327645801,-0.679199748,-0.6833724,0.071498691,0.372431785,-0.797664159,0.735857216,1.013032747,-0.347842111,0.270627792,3.758995802,1.051488258,1.328354425,0.95685589,-2.916243021,0.377262964,-1.121714433,0.631403791,-0.60105762,0.369509854,2.061624962,0,0,0,0,0,0,0,1,22
4DPAIPN,OPS7,-1.297706273,-0.59135332,-2.287068473,-2.635722475,1.651670356,-1.52841854,0.745161646,0.209523362,-3.081200611,-0.150916472,-1.646418096,-0.429213607,1.712550313,4.910905645,2.083871477,-1.503685055,1.341465551,-0.912431357,-0.674070448,1.066004711,-0.633419811,0.320261416,0.250617153,-0.813547001,-0.348299056,-0.171724943,-0.326929067,-0.152186931,-0.270571027,0,0,0,0,0,0,0,1,74
4tBuDPAIPN,OPS8,-1.066024749,-0.146600992,-3.076814863,-3.243776048,2.100814535,-0.090555606,1.056607332,-0.648977134,-3.184469888,-1.050969798,-3.052407323,-1.119715709,1.898412512,4.430590648,1.503256838,2.783018196,-0.818867856,0.507855521,-2.096767376,0.404056133,-1.918023233,0.946995044,2.607153291,0.026096442,2.01137295,-0.233617067,-0.703503608,-0.386977273,-1.407455839,0,0,0,0,0,0,0,1,17
4MeDPAIPN,OPS9,-0.748898465,-0.607555524,-2.69622438,-3.608458054,1.786854095,-0.727324066,0.900264811,-0.143305013,-2.314077765,0.141754168,-1.745514888,-0.499524245,1.03957262,4.895431767,3.310255463,-0.007432678,-0.60413568,-0.780675469,-0.514718571,0.471699704,-0.10595926,0.976279284,0.575928545,-1.379096248,-1.163943141,0.367458742,-0.985975195,-0.09919193,-0.359138742,0,0,0,0,0,0,0,1,29
4FDPAIPN,OPS10,-0.596330253,-0.722984682,-3.124622145,-3.928814425,2.566637936,-2.041417165,2.084922642,-0.669763938,-4.249583978,0.219525713,-2.938645833,-0.739110372,2.895726053,9.321489051,4.398848391,-2.0910823,1.016601677,-1.824710869,-2.300289588,2.723353239,-1.421981199,1.455419043,2.692068256,-1.082796237,-1.044466224,3.588658949,4.307723361,-4.216082871,-0.33016522,0,0,0,0,0,0,0,1,71
